City,Name,ZIP,Language,Time,Type,Price,Capacity,Booked
Kasdol,ShriBalajiCinemaAirconditionedKasdol,493335,Chattisgarhi,18:00,DiamondClass,100₹,18,0
Basna,CityCinemaBasna,493554,Chattisgarhi,18:00,Box1,170₹,8,0
Basna,CityCinemaBasna,493554,Chattisgarhi,18:00,Box2,170₹,8,0
Basna,CityCinemaBasna,493554,Chattisgarhi,18:00,Diamond,120₹,99,0
Basna,CityCinemaBasna,493554,Chattisgarhi,18:00,Gold,100₹,64,0
Basna,CityCinemaBasna,493554,Chattisgarhi,18:00,Silver,80₹,48,0
Balod,VinayTalkiesBalod,491226,Chattisgarhi,18:00,Balcony,90₹,30,0
Balod,VinayTalkiesBalod,491226,Chattisgarhi,18:00,FirstClass,60₹,200,0
Akaltara,DlMultiplexAkaltara,495552,Chattisgarhi,18:00,Royal,150₹,9,0
Akaltara,DlMultiplexAkaltara,495552,Chattisgarhi,18:00,Diamond,120₹,20,0
Akaltara,DlMultiplexAkaltara,495552,Chattisgarhi,18:00,Gold,100₹,20,0
Akaltara,DlMultiplexAkaltara,495552,Chattisgarhi,18:00,Silver,60₹,20,0
Raipur,ShyamTalkiesRaipur,492001,Chattisgarhi,18:00,Balcony,100₹,60,0
Sarangarh,CityCinemaSarangarh,496445,Chattisgarhi,18:00,Diamond,100₹,56,0
Sarangarh,CityCinemaSarangarh,496445,Chattisgarhi,18:00,GoldClass,70₹,275,0
Bhatgaon,ShreeMahalCinemaBhatgaon,493222,Chattisgarhi,18:00,Platinum,160₹,37,0
Bhatgaon,ShreeMahalCinemaBhatgaon,493222,Chattisgarhi,18:00,Diamond,140₹,78,11
Bhatgaon,ShreeMahalCinemaBhatgaon,493222,Chattisgarhi,18:00,Gold,120₹,72,0
Bhatgaon,ShreeMahalCinemaBhatgaon,493222,Chattisgarhi,18:00,Silver,100₹,54,0
Bhatgaon,ShreeMahalCinemaBhatgaon,493222,Chattisgarhi,18:00,Vip,200₹,14,0
Narayanpur,AgCinemasNarayanpur,494661,Chattisgarhi,18:00,Platinum,120₹,48,0
Narayanpur,AgCinemasNarayanpur,494661,Chattisgarhi,18:00,Gold,100₹,40,0
Kharsia,PihuEntertainmentKharsia,496661,Chattisgarhi,18:00,Silver,60₹,42,5
Kharsia,PihuEntertainmentKharsia,496661,Chattisgarhi,18:00,Gold,100₹,42,0
Kharsia,PihuEntertainmentKharsia,496661,Chattisgarhi,18:00,Platinum,150₹,100,0
Kharsia,PihuEntertainmentKharsia,496661,Chattisgarhi,18:00,Diamond,250₹,12,0
Raipur,PrabhatTalkiesRaipur,492009,Chattisgarhi,18:00,Diamond,100₹,211,0
Raipur,PrabhatTalkiesRaipur,492009,Chattisgarhi,18:00,Gold,70₹,720,0
Dhamtari,DevshriCinemaDhamtari,493773,Chattisgarhi,18:00,Balcony,90₹,31,0
Dhamtari,DevshriCinemaDhamtari,493773,Chattisgarhi,18:00,UpperStall,60₹,100,0
Sakti,KrishnaMetroCinemaSakti,495689,Chattisgarhi,18:00,Platinum,200₹,18,0
Sakti,KrishnaMetroCinemaSakti,495689,Chattisgarhi,18:00,Diamond,170₹,20,0
Sakti,KrishnaMetroCinemaSakti,495689,Chattisgarhi,18:00,Gold,140₹,21,0
Sakti,KrishnaMetroCinemaSakti,495689,Chattisgarhi,18:00,Silver,100₹,23,0
Pendra,PoojaShreeCineplexPendra,495119,Chattisgarhi,18:00,DiamondClass,150₹,15,0
Ambikapur,BasantMultiplexAmbikapur,497001,Chattisgarhi,18:00,Silver,100₹,88,0
Ambikapur,BasantMultiplexAmbikapur,497001,Chattisgarhi,18:00,Gold,150₹,120,0
Ambikapur,BasantMultiplexAmbikapur,497001,Chattisgarhi,18:00,Platinum,180₹,64,0
Ambikapur,BasantMultiplexAmbikapur,497001,Chattisgarhi,18:00,Diamond,200₹,91,0
Nawapara,GalaxyCinemaNawapara,493881,Chattisgarhi,18:00,Diamond,150₹,60,0
Nawapara,GalaxyCinemaNawapara,493881,Chattisgarhi,18:00,Gold,100₹,185,0
Dongargarh,ShreeCinemaDongargarh,491445,Chattisgarhi,18:00,Gold,120₹,7,0
Durg,TarunLvCinemasDurg,491001,Chattisgarhi,18:00,Platinum,150₹,46,0
Durg,TarunLvCinemasDurg,491001,Chattisgarhi,18:00,Gold,120₹,99,0
Durg,TarunLvCinemasDurg,491001,Chattisgarhi,18:00,Silver,100₹,32,0
Dhamtari,EosCinemasDhamtari,493773,Chattisgarhi,18:00,Prime,150₹,37,0
Dhamtari,EosCinemasDhamtari,493773,Chattisgarhi,18:00,Club,100₹,95,0
Dhamtari,EosCinemasDhamtari,493773,Chattisgarhi,18:00,Premium,100₹,57,0
Bilaspur,ShivTalkiesBilaspur,495001,Chattisgarhi,18:15,Balcony,100₹,371,0
Bilaspur,ShivTalkiesBilaspur,495001,Chattisgarhi,18:15,Reserve,60₹,609,0
Rajnandgaon,EosSilverScreenMultiplexRajnandgaon,491441,Chattisgarhi,18:15,Star,120₹,16,0
Rajnandgaon,EosSilverScreenMultiplexRajnandgaon,491441,Chattisgarhi,18:15,Super,100₹,9,0
Champa,MukundSMultiplexChampa,495671,Chattisgarhi,18:20,Silver,70₹,72,0
Champa,MukundSMultiplexChampa,495671,Chattisgarhi,18:20,Golden,90₹,72,0
Champa,MukundSMultiplexChampa,495671,Chattisgarhi,18:20,Platinum,120₹,72,4
Champa,MukundSMultiplexChampa,495671,Chattisgarhi,18:20,Royal,150₹,69,0
Korba,ChitraMultiplex2KDolbySurround71Korba,495677,Chattisgarhi,18:20,Classic,50₹,44,0
Korba,ChitraMultiplex2KDolbySurround71Korba,495677,Chattisgarhi,18:20,Premium,100₹,94,0
Korba,ChitraMultiplex2KDolbySurround71Korba,495677,Chattisgarhi,18:20,Executive,100₹,118,0
Korba,ChitraMultiplex2KDolbySurround71Korba,495677,Chattisgarhi,18:20,Sofa,150₹,19,0
Champa,PadminiMultiplexChampa,495671,Chattisgarhi,18:30,Recliner,300₹,6,0
Champa,PadminiMultiplexChampa,495671,Chattisgarhi,18:30,Diamond,250₹,9,0
Champa,PadminiMultiplexChampa,495671,Chattisgarhi,18:30,Platinum,200₹,10,0
Champa,PadminiMultiplexChampa,495671,Chattisgarhi,18:30,Golden,180₹,11,0
Janjgir,MetroCinemaJanjgirNaila,495668,Chattisgarhi,18:30,Royal,240₹,8,0
Janjgir,MetroCinemaJanjgirNaila,495668,Chattisgarhi,18:30,Platinum,180₹,17,0
Janjgir,MetroCinemaJanjgirNaila,495668,Chattisgarhi,18:30,Diamond,150₹,17,0
Janjgir,MetroCinemaJanjgirNaila,495668,Chattisgarhi,18:30,Golden,120₹,16,0
Janjgir,MetroCinemaJanjgirNaila,495668,Chattisgarhi,18:30,Silver,100₹,18,0
Korba,NiharikaCinema2KLaserDolby71SoundKorba,495677,Chattisgarhi,18:30,Silver,50₹,50,0
Korba,NiharikaCinema2KLaserDolby71SoundKorba,495677,Chattisgarhi,18:30,Gold,100₹,191,0
Korba,NiharikaCinema2KLaserDolby71SoundKorba,495677,Chattisgarhi,18:30,Platinum,150₹,66,0
Bhatapara,CityplexCinemaBhatapara,493118,Chattisgarhi,18:30,Silver,120₹,66,0
Bhatapara,CityplexCinemaBhatapara,493118,Chattisgarhi,18:30,Gold,170₹,134,0
Bhatapara,CityplexCinemaBhatapara,493118,Chattisgarhi,18:30,Platinum,250₹,8,0
Raipur,InoxAmbujaCityCentreRaipur,492007,Chattisgarhi,18:40,RoyalRecliner,340₹,19,4
Raipur,InoxAmbujaCityCentreRaipur,492007,Chattisgarhi,18:40,Royal,160₹,38,6
Raipur,InoxAmbujaCityCentreRaipur,492007,Chattisgarhi,18:40,Club,140₹,150,0
Raipur,InoxAmbujaCityCentreRaipur,492007,Chattisgarhi,18:40,Executive,110₹,32,0
Raigarh,RkMoviezRaigarh,496001,Chattisgarhi,18:45,Classic,100₹,33,0
Raigarh,RkMoviezRaigarh,496001,Chattisgarhi,18:45,Silver,120₹,44,0
Raigarh,RkMoviezRaigarh,496001,Chattisgarhi,18:45,Prime,150₹,55,0
Raigarh,RkMoviezRaigarh,496001,Chattisgarhi,18:45,Gold,300₹,7,0
Bhilai,MuktaA2CinemaBabyloonBhilai3Bhilai,490021,Chattisgarhi,19:15,Gold,100₹,126,11
Bhilai,MuktaA2CinemaBabyloonBhilai3Bhilai,490021,Chattisgarhi,19:15,Premium,100₹,10,0
Bhilai,MuktaA2CinemaBabyloonBhilai3Bhilai,490021,Chattisgarhi,19:15,Silver,100₹,28,0
Raipur,PvrCityCenterRaipur,492001,Chattisgarhi,19:55,Classic,150₹,26,0
Raipur,PvrCityCenterRaipur,492001,Chattisgarhi,19:55,Prime,170₹,145,38
Bhilai,SriVenkateshwaraTalkiesBhilai,490023,Chattisgarhi,20:30,Balcony,110₹,132,0
BalodaBazar,ShivaBollywoodTheatreBalodaBazar,493332,Chattisgarhi,21:00,Balcony,100₹,36,0
BalodaBazar,ShivaBollywoodTheatreBalodaBazar,493332,Chattisgarhi,21:00,Silver,80₹,50,0
Durg,KSeraSeraMiniplexDurg,491001,Chattisgarhi,21:00,Gold,100₹,74,10
Durg,KSeraSeraMiniplexDurg,491001,Chattisgarhi,21:00,Silver,100₹,10,0
Rajnandgaon,KrishnaTalkiesRajnandgaon,491441,Chattisgarhi,21:00,Balcony,100₹,30,0
Rajnandgaon,KrishnaTalkiesRajnandgaon,491441,Chattisgarhi,21:00,ReserveClass,60₹,200,0
Bagbahara,CityCinemaBagbahara,493449,Chattisgarhi,21:00,Diamond,100₹,141,0
Bagbahara,CityCinemaBagbahara,493449,Chattisgarhi,21:00,GoldClass,70₹,98,0
Pendra,DurgeshTalkiesPendra,495117,Chattisgarhi,21:00,Balcony,150₹,65,0
Pendra,DurgeshTalkiesPendra,495117,Chattisgarhi,21:00,ReserveClass,120₹,88,0
Pendra,DurgeshTalkiesPendra,495117,Chattisgarhi,21:00,UpperStall,100₹,75,0
Kawardha,MaaBhuvaneshwariTalkiesKawardha,491995,Chattisgarhi,21:00,Balcony,120₹,29,0
Saraipali,SanjanaCinemaSaraipali,493558,Chattisgarhi,21:00,SuperDeluxe,120₹,55,0
Saraipali,SanjanaCinemaSaraipali,493558,Chattisgarhi,21:00,Deluxe,70₹,140,0
Raigarh,RamniwasTalkiesAirconditionedRaigarh,496001,Chattisgarhi,21:00,Platinum,100₹,63,0
Raigarh,RamniwasTalkiesAirconditionedRaigarh,496001,Chattisgarhi,21:00,Gold,70₹,73,0
Raigarh,RamniwasTalkiesAirconditionedRaigarh,496001,Chattisgarhi,21:00,Silver,70₹,63,0
Kasdol,ShriBalajiCinemaAirconditionedKasdol,493335,Chattisgarhi,21:00,DiamondClass,100₹,18,0
Basna,CityCinemaBasna,493554,Chattisgarhi,21:00,Box1,170₹,8,0
Basna,CityCinemaBasna,493554,Chattisgarhi,21:00,Box2,170₹,8,0
Basna,CityCinemaBasna,493554,Chattisgarhi,21:00,Diamond,120₹,99,0
Basna,CityCinemaBasna,493554,Chattisgarhi,21:00,Gold,100₹,64,0
Basna,CityCinemaBasna,493554,Chattisgarhi,21:00,Silver,80₹,48,0
Akaltara,DlMultiplexAkaltara,495552,Chattisgarhi,21:00,Royal,150₹,9,0
Akaltara,DlMultiplexAkaltara,495552,Chattisgarhi,21:00,Diamond,120₹,20,0
Akaltara,DlMultiplexAkaltara,495552,Chattisgarhi,21:00,Gold,100₹,20,0
Akaltara,DlMultiplexAkaltara,495552,Chattisgarhi,21:00,Silver,60₹,20,0
Raipur,ShyamTalkiesRaipur,492001,Chattisgarhi,21:00,Balcony,100₹,60,0
Sarangarh,CityCinemaSarangarh,496445,Chattisgarhi,21:00,Diamond,100₹,56,0
Sarangarh,CityCinemaSarangarh,496445,Chattisgarhi,21:00,GoldClass,70₹,275,0
Bhatgaon,ShreeMahalCinemaBhatgaon,493222,Chattisgarhi,21:00,Platinum,160₹,37,0
Bhatgaon,ShreeMahalCinemaBhatgaon,493222,Chattisgarhi,21:00,Diamond,140₹,78,0
Bhatgaon,ShreeMahalCinemaBhatgaon,493222,Chattisgarhi,21:00,Gold,120₹,72,0
Bhatgaon,ShreeMahalCinemaBhatgaon,493222,Chattisgarhi,21:00,Silver,100₹,54,0
Bhatgaon,ShreeMahalCinemaBhatgaon,493222,Chattisgarhi,21:00,Vip,200₹,14,0
Narayanpur,AgCinemasNarayanpur,494661,Chattisgarhi,21:00,Platinum,120₹,48,0
Narayanpur,AgCinemasNarayanpur,494661,Chattisgarhi,21:00,Gold,100₹,40,0
Kharsia,PihuEntertainmentKharsia,496661,Chattisgarhi,21:00,Silver,60₹,42,0
Kharsia,PihuEntertainmentKharsia,496661,Chattisgarhi,21:00,Gold,100₹,42,0
Kharsia,PihuEntertainmentKharsia,496661,Chattisgarhi,21:00,Platinum,150₹,100,0
Kharsia,PihuEntertainmentKharsia,496661,Chattisgarhi,21:00,Diamond,250₹,12,0
Raipur,PrabhatTalkiesRaipur,492009,Chattisgarhi,21:00,Diamond,100₹,211,0
Raipur,PrabhatTalkiesRaipur,492009,Chattisgarhi,21:00,Gold,70₹,720,0
Dhamtari,DevshriCinemaDhamtari,493773,Chattisgarhi,21:00,Balcony,90₹,31,0
Dhamtari,DevshriCinemaDhamtari,493773,Chattisgarhi,21:00,UpperStall,60₹,100,0
Sakti,KrishnaMetroCinemaSakti,495689,Chattisgarhi,21:00,Platinum,200₹,18,0
Sakti,KrishnaMetroCinemaSakti,495689,Chattisgarhi,21:00,Diamond,170₹,20,0
Sakti,KrishnaMetroCinemaSakti,495689,Chattisgarhi,21:00,Gold,140₹,21,0
Sakti,KrishnaMetroCinemaSakti,495689,Chattisgarhi,21:00,Silver,100₹,23,0
Pendra,PoojaShreeCineplexPendra,495119,Chattisgarhi,21:00,DiamondClass,150₹,15,0
Rajnandgaon,EosSilverScreenMultiplexRajnandgaon,491441,Chattisgarhi,21:00,Platinum,100₹,10,0
Dhamtari,EosCinemasDhamtari,493773,Chattisgarhi,21:00,Prime,150₹,37,0
Dhamtari,EosCinemasDhamtari,493773,Chattisgarhi,21:00,Club,100₹,95,0
Dhamtari,EosCinemasDhamtari,493773,Chattisgarhi,21:00,Premium,100₹,57,0
Korba,NiharikaCinema2KLaserDolby71SoundKorba,495677,Chattisgarhi,21:10,Silver,50₹,50,0
Korba,NiharikaCinema2KLaserDolby71SoundKorba,495677,Chattisgarhi,21:10,Gold,100₹,191,0
Korba,NiharikaCinema2KLaserDolby71SoundKorba,495677,Chattisgarhi,21:10,Platinum,150₹,66,0
Bilaspur,ShivTalkiesBilaspur,495001,Chattisgarhi,21:15,Balcony,100₹,371,0
Bilaspur,ShivTalkiesBilaspur,495001,Chattisgarhi,21:15,Reserve,60₹,609,0
Champa,MukundSMultiplexChampa,495671,Chattisgarhi,21:20,Silver,70₹,72,0
Champa,MukundSMultiplexChampa,495671,Chattisgarhi,21:20,Golden,90₹,72,2
Champa,MukundSMultiplexChampa,495671,Chattisgarhi,21:20,Platinum,120₹,72,0
Champa,MukundSMultiplexChampa,495671,Chattisgarhi,21:20,Royal,150₹,69,0
Korba,ChitraMultiplex2KDolbySurround71Korba,495677,Chattisgarhi,21:20,Classic,50₹,44,0
Korba,ChitraMultiplex2KDolbySurround71Korba,495677,Chattisgarhi,21:20,Premium,100₹,94,0
Korba,ChitraMultiplex2KDolbySurround71Korba,495677,Chattisgarhi,21:20,Executive,100₹,118,0
Korba,ChitraMultiplex2KDolbySurround71Korba,495677,Chattisgarhi,21:20,Sofa,150₹,19,0
Champa,PadminiMultiplexChampa,495671,Chattisgarhi,21:30,Recliner,300₹,6,0
Champa,PadminiMultiplexChampa,495671,Chattisgarhi,21:30,Diamond,250₹,9,0
Champa,PadminiMultiplexChampa,495671,Chattisgarhi,21:30,Platinum,200₹,10,0
Champa,PadminiMultiplexChampa,495671,Chattisgarhi,21:30,Golden,180₹,11,0
Janjgir,MetroCinemaJanjgirNaila,495668,Chattisgarhi,21:30,Royal,240₹,8,0
Janjgir,MetroCinemaJanjgirNaila,495668,Chattisgarhi,21:30,Platinum,180₹,17,0
Janjgir,MetroCinemaJanjgirNaila,495668,Chattisgarhi,21:30,Diamond,150₹,17,0
Janjgir,MetroCinemaJanjgirNaila,495668,Chattisgarhi,21:30,Golden,120₹,16,0
Janjgir,MetroCinemaJanjgirNaila,495668,Chattisgarhi,21:30,Silver,100₹,18,0
